[enu default]

//Wolf Exit Messages
PU_DOGFOOD = "Dog Food";
PU_YKEY = "Gold Key";
PU_BKEY = "Silver Key";
PU_FOOD = "Plate of Food";
PU_FIRSTAID = "First-Aid Kit";
PU_CROSS = "Cross";
PU_CHALICE = "Chalice";
PU_CHEST = "Chest";
PU_CROWN = "Crown";
PU_LIFE = "Extra Life";
PU_BONES = "Bloody Bones";
PU_BLOOD = "Pool of Blood";
PU_AMMOPOUCH = "Ammo Pouch";
PU_UNIFORM = "Nazi Uniform";
PU_VEST = "Ballistic Vest";
PU_ADRENALINE = "Adrenaline Injection";
PU_CLIP = "Clip of Bullets";
PU_BULLETBOX = "Box of Bullets";
PU_ROCKET = "A Rocket";
PU_ROCKETS = "Crate of Rockets";
PU_GAS = "Gas";
PU_GASCAN = "Canister of Gas";
PU_KNIF = "Knife";
PU_LUGR = "Pistol";
PU_MGUN = "Machine Gun";
PU_CGUN = "Chaingun";
PU_RL = "Rocket Launcher";
PU_FLAME = "Flame Thrower";
PU_SOD = "Spear of Destiny";

PU_RADIO = "Radio";
PU_SHELL = "Shell";
PU_TIMER = "Timer";
PU_BOMB = "Bomb";

TAG_KNIF = "Knife";
TAG_LUGR = "Pistol";
TAG_MGUN = "Machine Gun";
TAG_CGUN = "Chaingun";
TAG_RL = "Rocket Launcher";
TAG_FLAME = "Flame Thrower";

SECRETFOUND = "A Secret Area";
DEATHCAM = "Let's see that again!";

//Cast Call Names
CC_DOG = "Dog";
CC_BROWN = "Guard";
CC_BLUE = "SS Nazi";
CC_HANS = "Hans Grosse";
CC_WHITE = "Nazi Officer";
CC_MUTANT = "Mutant";
CC_SCHABBS = "Doctor Schabbs";
CC_HITLER = "Adolf Hitler";
CC_HITLERGHOST = "Hitler's Ghost";
CC_PACMAN = "Pac-Man ghost";
CC_GIFTMACHER = "Otto Giftmacher";
CC_GRETEL = "Gretel Grosse";
CC_FATFACE = "General Fettgesicht";
CC_BJ = "BJ Blazkowicz";

//Episode Names
EP_1 = "Episode 1\nEscape from Wolfenstein";
EP_2 = "Episode 2\nOperation: Eisenfaust";
EP_3 = "Episode 3\nDie, Fuhrer, Die!";
EP_4 = "Episode 4\nA Dark Secret";
EP_5 = "Episode 5\nTrail of the Madman";
EP_6 = "Episode 6\nConfrontation";
EP_SOD = "Spear of Destiny\n";
EP_SD2 = "Spear of Destiny: \nReturn to Danger";
EP_SD3 = "Spear of Destiny: \nUltimate Challenge";

//Skill Names
SK_1 = "Can I play, Daddy?";
SK_2 = "Don't hurt me.";
SK_3 = "Bring 'em on!";
SK_4 = "I am Death incarnate!";

//Automap Labels
AM_MONSTERS = "Enemies:";
AM_SECRETS = "Secrets:";
AM_ITEMS = "Treasure:";
